customer_id,name,email,phone,date_of_birth,identification_number,gender
0,Joseph Baker,smiththomas@example.net,(799)347-9311,1996-10-17,337312780,F
8,Kyle Burnett,cookrichard@example.com,865-569-2834,1946-03-19,T73626926,F
9,Dr. Meghan Pierce,jameswagner@example.com,812-424-6953,1948-02-10,284669557,F
19,Allen Robinson,jamesking@example.org,5879728318,1923-01-22,S97579750,F
22,Dominique Middleton,cynthia07@example.org,820-262-7698,1943-04-23,U65571472,M
26,April Taylor,thomas84@example.org,2748255507,1968-10-03,582811169,M
27,Gabrielle Tucker,hernandeztimothy@example.com,(685)635-5364,1984-05-02,426443667,F
35,William Morris,nicholas79@example.net,8952013404,2005-03-28,202231326,M
36,Rebecca Chavez,bcampbell@example.org,8529832809,1921-08-27,C85037567,F
39,Candice Arroyo,anthony17@example.com,3222229542,2000-11-01,Y22872948,M
43,Mariah Richards,heatherweaver@example.org,2166392972,2012-09-08,Z00646697,M
49,Veronica Johnson,debbie30@example.com,(451)619-5241,1964-11-04,Q44486860,F
51,Mark Robinson,christensenlogan@example.net,(667)774-1858,1996-09-08,095643208,F
56,Chelsea Johnson,hillchristopher@example.com,(524)416-2273,1934-07-29,J13607374,F
57,Ashley Thompson,thompsonthomas@example.net,779-859-0079,1933-02-06,569618436,F
64,John Allen,odonnelljeremy@example.net,311-626-8748,2018-11-04,B18320927,F
66,Matthew Murphy,ronald51@example.org,413-616-6584,1949-07-05,716574234,F
68,Zoe Mack,wrightmatthew@example.net,3958348917,1909-06-09,099497319,M
69,Raymond Jimenez,stephensoncaleb@example.com,9627768804,1911-05-01,942903160,F
71,William Thompson,joannewalton@example.net,866-516-5645,2002-12-01,K84657785,M
74,Joseph Torres,patriciabishop@example.org,660-748-0264,2005-12-20,G41014404,F
79,Jonathan Torres,perezjennifer@example.com,982-648-7439,1974-06-30,O59076828,F
80,Danny Hernandez,sabrinarojas@example.org,2492789065,1962-05-22,110121989,M
82,Karen Fowler,websteramanda@example.net,4874729003,1928-08-21,L97217736,M
84,Daniel Jenkins,davidsmith@example.net,951-824-7363,1984-07-27,H09190366,M
88,Samantha Mckinney,uward@example.org,7382470778,1913-02-16,724258355,F
91,Paul Mckinney,timothy63@example.com,(490)224-7260,1987-12-08,800703278,M
94,Carol Morrison,mduran@example.net,918-241-8278,1913-05-07,431624025,M
109,Eric Romero,amywoods@example.org,205-481-4025,2023-09-27,V47902134,M
115,Alexander Chase Jr.,bryantstephanie@example.net,(559)702-1037,1961-10-07,F73450885,F
121,Danielle Shannon,dana00@example.net,871-220-5171,1968-01-14,H26472006,F
128,Maria Torres,alvarezmichelle@example.net,4145840144,2018-05-09,257826552,M
133,John Brown,mary90@example.org,3568606689,1944-01-13,957491710,M
138,Kelsey Lowe,pjenkins@example.net,7469740807,2012-05-08,572948303,M
142,Joyce Barnett,dillonjames@example.net,532-445-5631,1943-02-21,727549084,M
152,Erin Banks,hrios@example.org,5487044726,1923-05-20,271773991,F
164,Terry Cruz,charles23@example.net,(556)220-9106,2012-11-17,541895153,F
